Village,Date,Region,Year,Total Deaths,Latitude,Longitude,Province
Wana,6/19/2004,South Waziristan,2004,7,32.307446,69.56543,Federally Administered Tribal Areas
"Toorikhel, Mirali",5/8/2005,North Waziristan,2005,2,32.987644,70.261345,Federally Administered Tribal Areas
Haisori,11/5/2005,North Waziristan,2005,8,33.010391,70.043335,Federally Administered Tribal Areas
Patasi Adda,12/1/2005,North Waziristan,2005,5,32.09686,70.2657,Federally Administered Tribal Areas
Damadola,1/6/2006,Bajaur,2006,18,34.801682,71.472588,Federally Administered Tribal Areas
"Chenagai, six miles north of Khar",10/30/2006,Bajaur,2006,82,34.841988,71.49765,Federally Administered Tribal Areas
"Salamat Keley, Zamazola",1/16/2007,South Waziristan,2007,30,32.844982,69.56543,Federally Administered Tribal Areas
"Danda Saidgai, 15 km north of Miram Shah",4/27/2007,North Waziristan,2007,4,33.109947,70.068054,Federally Administered Tribal Areas
"Mami Rogha, 26 miles west of Miram Shah",6/19/2007,North Waziristan,2007,34,32.991386,70.291901,Federally Administered Tribal Areas
Outside Miram Shah,11/2/2007,North Waziristan,2007,9,32.992538,70.098953,Federally Administered Tribal Areas
Near Mir Ali,1/29/2008,North Waziristan,2008,13,32.99398,70.237999,Federally Administered Tribal Areas
Azam Warzak,2/28/2008,South Waziristan,2008,13,32.308025,69.409561,Federally Administered Tribal Areas
"Dhook Pir Bagh, near Wana",3/16/2008,South Waziristan,2008,20,32.316151,69.462433,Federally Administered Tribal Areas
Damadola,5/14/2008,Bajaur,2008,16,34.809856,71.531296,Federally Administered Tribal Areas
Makeen,6/14/2008,South Waziristan,2008,1,32.622604,69.829102,Federally Administered Tribal Areas
Zeralita in the Azam Warsak region,7/28/2008,South Waziristan,2008,6,32.288296,69.439774,Federally Administered Tribal Areas
"Bhagar, 22 miles west of Wana",8/12/2008,South Waziristan,2008,12,32.311508,69.320984,Federally Administered Tribal Areas
Wana,8/20/2008,South Waziristan,2008,10,32.301064,69.598389,Federally Administered Tribal Areas
Ganghikhel area,8/27/2008,South Waziristan,2008,0,32.3028,69.5805,Federally Administered Tribal Areas
Korzai region near Wana,8/30/2008,South Waziristan,2008,6,32.326595,69.521484,Federally Administered Tribal Areas
"Tappi, Miram Shah",8/31/2008,North Waziristan,2008,8,33.01442,70.061188,Federally Administered Tribal Areas
Char Khel,9/4/2008,North Waziristan,2008,7,33.016724,69.848328,Federally Administered Tribal Areas
Gurwak,9/5/2008,North Waziristan,2008,12,33.046658,69.539337,Federally Administered Tribal Areas
"Danda Darpa Khel, outside Miram Shah",9/8/2008,North Waziristan,2008,25,33.01442,70.085907,Federally Administered Tribal Areas
Tol Khel on the outskirts of Miram Shah,9/12/2008,North Waziristan,2008,12,33.004059,70.074921,Federally Administered Tribal Areas
"Baghar Cheena region, 55km west of Wana",9/17/2008,South Waziristan,2008,7,32.500496,69.283905,Federally Administered Tribal Areas
"Khusali Toorikhel, near Mir Ali",10/1/2008,North Waziristan,2008,5,32.97699,70.303574,Federally Administered Tribal Areas
"Mohammad Khel, near Datta Khel",10/3/2008,North Waziristan,2008,21,32.998299,69.723358,Federally Administered Tribal Areas
Datta Khel,10/3/2008,North Waziristan,2008,3,33.001755,69.704132,Federally Administered Tribal Areas
"Tati, near Miram Shah",10/9/2008,North Waziristan,2008,9,32.994843,70.167618,Federally Administered Tribal Areas
Just outside Miram Shah,10/11/2008,North Waziristan,2008,5,32.99369,70.092087,Federally Administered Tribal Areas
"Taparghai, near Saam in the Ladha region",10/16/2008,South Waziristan,2008,4,32.540447,69.854507,Federally Administered Tribal Areas
"Danda Darpa Khel, outside Miram Shah",10/23/2008,North Waziristan,2008,10,33.023632,70.074577,Federally Administered Tribal Areas
Shakai region north of Wana,10/26/2008,South Waziristan,2008,20,32.552601,69.609375,Federally Administered Tribal Areas
Mir Ali,10/31/2008,North Waziristan,2008,15,32.9767,70.269241,Federally Administered Tribal Areas
Wana,10/31/2008,South Waziristan,2008,12,32.29874,69.54071,Federally Administered Tribal Areas
"Kumsham, 22 miles south of Miram Shah",11/7/2008,North Waziristan,2008,14,32.751476,70.072174,Federally Administered Tribal Areas
Garyom,11/14/2008,North Waziristan,2008,13,32.707577,69.873047,Federally Administered Tribal Areas
Jani Khel,11/19/2008,Khyber Pakhtunkhwa,2008,5,32.799973,70.489655,Khyber Pakhtunkhwa
Ali Khel region just outside of Miram Shah,11/22/2008,North Waziristan,2008,5,32.981308,70.067368,Federally Administered Tribal Areas
"Chashma, a village on the outskirts of Miram Shah",11/29/2008,North Waziristan,2008,3,32.98822,70.046425,Federally Administered Tribal Areas
"Katira in Khushal Torikhel area, Mir Ali",12/5/2008,North Waziristan,2008,4,32.9315,70.3052,Federally Administered Tribal Areas
Azam Warzak,12/11/2008,South Waziristan,2008,7,32.31673,69.384155,Federally Administered Tribal Areas
Tapi Tool region near Miram Shah,12/15/2008,North Waziristan,2008,3,32.983322,70.08728,Federally Administered Tribal Areas
Azam Warzak near Wana,12/22/2008,South Waziristan,2008,3,32.30526109,69.45419308,Federally Administered Tribal Areas
"Ghwakhwa, Wana",12/22/2008,South Waziristan,2008,5,32.296421,69.498825,Federally Administered Tribal Areas
"Karikot, near Wana",1/1/2009,South Waziristan,2009,3,32.319633,69.501572,Federally Administered Tribal Areas
Ladha,1/2/2009,South Waziristan,2009,4,32.539288,69.875793,Federally Administered Tribal Areas
"Zharki (Zera), near Mir Ali",1/23/2009,North Waziristan,2009,10,32.9538,70.262459,Federally Administered Tribal Areas
"Dilfaraz or Ghangi Khel, near Wana",1/23/2009,South Waziristan,2009,10,32.270878,69.589462,Federally Administered Tribal Areas
"Near Narsikhel, Ladha",2/14/2009,South Waziristan,2009,30,32.520184,69.868927,Federally Administered Tribal Areas
